,Tweet,Favourites,Compound,Positive,Neutral,Negative
101,"What is your take on demonetisation,  Mr Surjit bhalla? https://t.co/6v283Yey1e",0,0.0,0.0,1.0,0.0
102,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/GaUM8GtdXG https://t.co/6CtZEX6JAG",0,0.6249,0.291,0.709,0.0
103,"@sunetrac @RavishKumar_ Whn I saw Ravish covering gen elec in UP,thought can I again see him in studio? same during demonetisation! Spirit💐",0,0.0,0.0,1.0,0.0
104,"Demonetisation led to digitisation of economy: Jaitley
https://t.co/ucBrrGAQ6n",1,0.0,0.0,1.0,0.0
105,@narendramodi #imp thanks for unearthing 400cr from retired police officer MKR pillai  proud of  govt &amp; these are benefits of demonetisation,0,0.8225,0.323,0.677,0.0
106,#Demonetisation not only brought digitisation to directly block corruption but also 1Cr new tax payers https://t.co/AwzfoBNzZX Arun Jaitley,0,-0.2382,0.0,0.897,0.103
107,Farmer woes: From a persisting cash crunch due to demonetisation to a price free fall because of a bumper produce https://t.co/93UBU7dezo,2,0.1027,0.149,0.721,0.131
108,"Every silver lining has a touch of grey. -- Jerry Garcia

Arun Jaitley
https://t.co/NtpdUpCQlv",0,0.0516,0.091,0.909,0.0
109,"Be it Pre or Post Demonetisation,
for Rahul Gandhi ""ATM"" meant
""Any Time Modi""

He lost 28 Elections &amp; Modi's Digitisation Won

Arun Jaitley",0,0.34,0.132,0.786,0.082
110,"#Demonetisation benefits continue to roll for Lower &amp; Middle https://t.co/BQITtDmmLI,aftr Gold&amp;Food,Real estate reg… https://t.co/5Quq0i4yg6",0,0.1027,0.155,0.714,0.131
111,"@imbhandarkar What about farmers, rape victims, the elderly, the victims of demonetisation and the future victims of nuclear power plants?",0,-0.891,0.0,0.58,0.42
112,"Q: Give one word for ""Theory Of Fixing Economy""
A: Demonetisation

#modiquiz",4,0.0,0.0,1.0,0.0
113,"Dear Arun Jaitley,

If Rahul Gandhi has stopped Standing
in ATM lines, it is cos of PM @NarendraModi's
Digitisation post Demonetisation.",0,0.1779,0.111,0.809,0.081
114,"Arun Jaitley said that he anticipates a substantial increase in the tax base.

https://t.co/fc60r1Xdng",0,0.4767,0.272,0.728,0.0
115,Demonetisation Led to 'Great Movement' Towards Digitisation: Finance Minister Arun Jaitley |… https://t.co/cnN5DsVQEc,1,0.6249,0.255,0.745,0.0
116,"Demonetisation Wrecked that
""Class of Scoundrels"" who thought
Modi Govt wud be akin prev.
CORRUPT CONGRESS Govt

Mahatma Gandhi Arun Jaitley",0,0.0,0.0,1.0,0.0
117,@Pun_Starr @rahulkanwal @aajtak Naxalism too.. Post demonetization all the naxalites became saints and joined BJP.… https://t.co/rjbmLCCTrd,1,0.0,0.0,1.0,0.0
118,Demonetisation led to movement towards digitisation: Arun Jaitley https://t.co/X64U14LSf8,0,0.0,0.0,1.0,0.0
119,The latest The Farra Design Daily! https://t.co/OXVaacCjer Thanks to @veen1983 @estradeindia #demonetization #india,0,0.4926,0.21,0.79,0.0
120,Demonetization in Manufacturing = IoT https://t.co/7UoHFqOHsl via @mfgtechupdate #Iot #IIot #Industry40 #industrie40,2,0.0,0.0,1.0,0.0
